Federal organization,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (kt)
Environment and Climate Change Canada,2010-11,facilities,1,Liquified petroleum gas,1627.88858,0.099306992
Environment and Climate Change Canada,2010-11,facilities,1,natural gas,203742.1137,10.15515449
Environment and Climate Change Canada,2010-11,facilities,2,electricity,140449.7124,4.753693988
Environment and Climate Change Canada,2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",7151.683081,0.50964494
Environment and Climate Change Canada,2010-11,fleet,1,Fuels with renewable content,5340.223528,0.327324819
Environment and Climate Change Canada,2010-11,fleet,1,Gasoline,49709.492,3.186645318
Environment and Climate Change Canada,2010-11,fleet,1,Liquified petroleum gas,4.651978,0.000283114
Environment and Climate Change Canada,2010-11,fleet,1,Natural gas,0.005225,2.98E-07
Fisheries and Oceans Canada,2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",79367.845,5.687321867
Fisheries and Oceans Canada,2010-11,facilities,1,Liquified petroleum gas,9789.821946,0.59721395
Fisheries and Oceans Canada,2010-11,facilities,1,natural gas,106470.3018,5.306818231
Fisheries and Oceans Canada,2010-11,facilities,2,district energy,28618,1.688462
Fisheries and Oceans Canada,2010-11,facilities,2,electricity,295790.3964,17.62004366
Fisheries and Oceans Canada,2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",22648.5518,1.619432954
Fisheries and Oceans Canada,2010-11,fleet,1,Fuels with renewable content,3951.24253,0.240717375
Fisheries and Oceans Canada,2010-11,fleet,1,Gasoline,107248.19,6.873076862
Fisheries and Oceans Canada,2010-11,fleet,1,Liquified petroleum gas,29.46084,0.001792956
Health Canada,2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",107.76854,0.007705743
Health Canada,2010-11,fleet,1,Fuels with renewable content,3805.391824,0.2220362
Health Canada,2010-11,fleet,1,Gasoline,32232.0075,2.065611224
Health Canada,2010-11,fleet,1,Natural gas,0.0047576,2.71E-07
"Immigration, Refugees and Citizenship Canada",2010-11,fleet,1,Fuels with renewable content,230.1835644,0.014114889
"Immigration, Refugees and Citizenship Canada",2010-11,fleet,1,Gasoline,1072.96224,0.068761552
Indigenous Services Canada,2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",926.15145,0.066222344
Indigenous Services Canada,2010-11,fleet,1,Fuels with renewable content,598.050209,0.009368923
Indigenous Services Canada,2010-11,fleet,1,Gasoline,7457.6075,0.477926104
"Innovation, Science and Economic Development Canada",2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2918.92726,0.208711225
"Innovation, Science and Economic Development Canada",2010-11,fleet,1,Fuels with renewable content,2182.95401,0.133092465
"Innovation, Science and Economic Development Canada",2010-11,fleet,1,Gasoline,16174.7985,1.036573515
"Innovation, Science and Economic Development Canada",2010-11,fleet,1,Natural gas,0.017423,9.94E-07
National Defence,2010-11,facilities,1,aviation fuel,296126.8869,20.14296257
National Defence,2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1286326.153,94.4894614
National Defence,2010-11,facilities,1,Gasoline,0.5299,3.52E-05
National Defence,2010-11,facilities,1,Liquified petroleum gas,41090.94673,2.506693866
National Defence,2010-11,facilities,1,natural gas,6117251.179,304.903241
National Defence,2010-11,facilities,2,district energy,47393.22,3.915478509
National Defence,2010-11,facilities,2,electricity,3669229.178,293.8155052
National Defence,2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",295206.1647,20.88546075
National Defence,2010-11,fleet,1,Fuels with renewable content,199445.536,12.22455226
National Defence,2010-11,fleet,1,Gasoline,208471.34,13.36020081
National Defence,2010-11,fleet,1,Liquified petroleum gas,18.90657,0.001150634
National Defence,2010-11,fleet,1,Natural gas,0.00323,1.84E-07
Natural Resources Canada,2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",4066.65036,0.290775304
Natural Resources Canada,2010-11,facilities,1,Liquified petroleum gas,3211.38342,0.195905808
Natural Resources Canada,2010-11,facilities,1,natural gas,140140.9345,6.985069577
Natural Resources Canada,2010-11,facilities,2,district energy,132582.74,10.53438997
Natural Resources Canada,2010-11,facilities,2,electricity,200982.5374,12.04806113
Natural Resources Canada,2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2685.196557,0.191526421
Natural Resources Canada,2010-11,fleet,1,Fuels with renewable content,2592.374277,0.04077739
Natural Resources Canada,2010-11,fleet,1,Gasoline,15061.291,0.965213592
Natural Resources Canada,2010-11,fleet,1,Natural gas,0.002907,1.66E-07
Parks Canada,2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",76300.8271,5.469099488
Parks Canada,2010-11,facilities,1,Liquified petroleum gas,48818.76323,2.978118152
Parks Canada,2010-11,facilities,1,natural gas,81983.87234,4.086336763
Parks Canada,2010-11,facilities,2,electricity,170120.3976,12.91541248
Parks Canada,2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",76574.4542,5.354285999
Parks Canada,2010-11,fleet,1,Fuels with renewable content,29926.68696,1.835108687
Parks Canada,2010-11,fleet,1,Gasoline,79374.47,5.082009606
Parks Canada,2010-11,fleet,1,Liquified petroleum gas,614.14715,0.03737635
Parks Canada,2010-11,fleet,1,Natural gas,0.460864,2.63E-05
Public Services and Procurement Canada,2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",79986.6496,5.693935681
Public Services and Procurement Canada,2010-11,facilities,1,Liquified petroleum gas,4662.465958,0.284427003
Public Services and Procurement Canada,2010-11,facilities,1,natural gas,1004604.676,50.07268996
